,hotel,rating,kind_rat,reviews,reviews_clean,price,price_clean
271,Al Muhaidb Residence Al Takhassusi,6.8,Review score,"1,134 reviews",1134,SAR 270,270
272,شقة في الماجدية وقريبه من البوليفارد دخول ذاتي,9.6,Exceptional,5 reviews,5,"SAR 1,400",1400
273,فندق نزهة المكان,5.7,Review score,24 reviews,24,SAR 230,230
274,Aral Suites,7.7,Good,230 reviews,230,SAR 430,430
275,Nawarah Al Takhassusi,6.8,Review score,581 reviews,581,SAR 250,250
276,ال متعب سويتس اليرموك,7.9,Good,214 reviews,214,SAR 341,341
277,Al Muhaidb Sulaimanya Askary Hospital,7.7,Good,"1,950 reviews",1950,SAR 250,250
278,Tara One Furnished Residential Units (Families only),6.9,Review score,95 reviews,95,SAR 280,280
279,قصرالكادي,7.5,Good,4 reviews,4,SAR 280,280
280,Bohemian Cosy APT { حي النرجس } دخول ذاتي شقة مكونة من غرفة و صالة,,,,,SAR 648,648
281,شانتال Chantal,5.3,Review score,4 reviews,4,"SAR 3,000",3000
282,مضايا الرياض,,,,,SAR 360,360
283,السعادة,,,,,SAR 563,563
284,"Modern Apartment , Alyasmen,Almajedyah - الماجدية الياسمين",,,,,SAR 950,950
285,Swarvoski Chalet,6.8,Review score,25 reviews,25,SAR 990,990
286,Vivienda Hotel Villas Granada,9.0,Wonderful,17 reviews,17,"SAR 4,000",4000
287,Chalet Al Mas Kortoba,7.5,Good,28 reviews,28,SAR 990,990
288,THE CORNER CHALETS,7.8,Good,81 reviews,81,SAR 900,900
289,شقة شمال الرياض دخول ذاتي,,,,,SAR 806,806
290,Diva Chalet,8.8,Excellent,14 reviews,14,"SAR 2,000",2000
291,Chalet Maria Al Ryiad,6.2,Review score,57 reviews,57,SAR 800,800
292,Al Nozul Al Zahabiya,7.3,Good,13 reviews,13,SAR 300,300
293,شاليهات صدف,5.4,Review score,5 reviews,5,SAR 700,700
294,شقة بغرفتين وصالة بدخول ذاتي,,,,,SAR 600,600
295,Nirvana residence نيرفانا رزدنت,,,,,SAR 991,991
296,برج داماك الرياض / Damac Esclusiva,,,,,SAR 600,600
297,شاليه حنين,,,,,"SAR 2,000",2000
298,Al Muhaidb ALOlaya Suites,8.0,Very Good,"1,091 reviews",1091,SAR 345,345
299,Mabaat - Al Aqiq 1BD Apt - 559,,,,,SAR 600,600
300,Nawal Resort,9.7,Exceptional,3 reviews,3,SAR 980,980
301,F2 private self-entry apartment,,,,,"SAR 1,000",1000
302,شقة فاخره في برج رافال,,,,,"SAR 3,000",3000
303,شقة غرفة وصاله بدخول ذكي,,,,,SAR 590,590
304,Al Quba Al Thahbia Hotel Suites 2,6.5,Review score,"1,007 reviews",1007,SAR 169,169
305,منتجع بانسيه,,,,,"SAR 9,700",9700
306,Luxurious villa,9.0,Wonderful,6 reviews,6,"SAR 4,000",4000
307,شقة للإيجار في برج رافال,,,,,"SAR 1,530",1530
308,Mabaat Homes - Al Malqa - Luxury Apartment,,,,,"SAR 1,000",1000
309,منتجع وسم للشاليهات و قاعات المناسبات,,,,,SAR 732,732
310,شقق داماك فندي الفندقية للإيجار اليومي والشهري دخول ذاتي,,,,,"SAR 2,000",2000
311,Sydra Chalet,8.1,Very Good,15 reviews,15,SAR 495,495
312,شقق الاندلس,,,,,"SAR 1,980",1980
313,فيلا السعادة,,,,,"SAR 7,800",7800
314,Ajuwan Resort,,,,,"SAR 15,000",15000
315,السدرة,,,,,SAR 392,392
316,منتجع نزل الدرعية,,,,,"SAR 7,000",7000
317,شقة الفيحاء,,,,,SAR 512,512
318,مخيم روح القصيد,,,,,"SAR 1,200",1200
319,Davli Resort,7.0,Good,6 reviews,6,"SAR 1,320",1320
320,شاليهات لوريت,,,,,"SAR 1,300",1300
